Car Company,Car Model,Style Name,Year,Mileage,Transmission Type,Engine,Fuel Type,Body Type,Price,Link
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,76735,Automatic,2.7L V-6 Gas Turbocharged,Gas,Pickup Truck,27900.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1EP1KFC34101
Ford,F-150,King Ranch SuperCrew 5.5' Box 4WD,2016,178892,Automatic,5.0L V-8 Gas,Gas,Pickup Truck,18922.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1EF2GKD70100
Ford,Fusion,SE FWD,2020,35963,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,Sedan,17595.0,https://www.truecar.com/used-cars-for-sale/listing/3FA6P0HD8LR166239
Chevrolet,Malibu,LT,2021,66631,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,Sedan,16990.0,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5ST1MF026988
Toyota,Corolla,LE CVT,2019,76977,Automatic,1.8L Inline-4 Gas,Gas,Sedan,14929.0,https://www.truecar.com/used-cars-for-sale/listing/5YFBURHE7KP881659
Nissan,Sentra,SV CVT,2019,36602,Automatic,1.8L Inline-4 Gas,Gas,Sedan,15485.0,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP6KY364809
Ford,Escape,SE FWD,2017,75904,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,SUV,11995.0,https://www.truecar.com/used-cars-for-sale/listing/1FMCU0GD7HUD22158
Nissan,Sentra,SV CVT,2019,53566,Automatic,1.8L Inline-4 Gas,Gas,Sedan,13998.0,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP5KY411067
Kia,Optima,LX Automatic,2020,62409,Automatic,2.4L Inline-4 Gas,Gas,Sedan,18951.0,https://www.truecar.com/used-cars-for-sale/listing/5XXGT4L38LG429604
Hyundai,Elantra,SEL 2.0L IVT,2020,66081,Automatic,2.0L Inline-4 Gas,Gas,Sedan,17732.0,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LFXLH549990
Honda,Civic,LX Sedan Automatic,2013,97517,Automatic,1.8L Inline-4 Gas,Gas,Sedan,9994.0,https://www.truecar.com/used-cars-for-sale/listing/19XFB2F51DE048011
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2016,114232,Automatic,3.5L V-6 Gas,Gas,Pickup Truck,19900.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1E8XGFB86632
