Car Company,Car Model,Style Name,Year,Mileage,Transmission Type,Engine,Fuel Type,Body Type,Price,Link
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,72999,Automatic,3.5L V-6 Gas Turbocharged,Gas,Pickup Truck,32000.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1E4XKKE09605
Chevrolet,Malibu,LT,2021,24581,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,Sedan,20852.0,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5ST5MF012222
Hyundai,Elantra,SEL 2.0L IVT,2020,70641,Automatic,2.0L Inline-4 Gas,Gas,Sedan,15711.0,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LF3LH575847
Hyundai,Elantra,SEL 2.0L IVT,2020,64198,Automatic,2.0L Inline-4 Gas,Gas,Sedan,16000.0,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LF8LH535120
Ford,Super Duty F-250,XL 4WD Crew Cab 6.75' Box,2019,157490,Automatic,6.2L V-8 Gas,Gas,Pickup Truck,26995.0,https://www.truecar.com/used-cars-for-sale/listing/1FT7W2B65KEE57029
Kia,Forte,LXS IVT,2021,41386,Automatic,2.0L Inline-4 Gas,Gas,Sedan,16888.0,https://www.truecar.com/used-cars-for-sale/listing/3KPF24AD3ME322822
BMW,3 Series,328i Sedan RWD (SULEV),2015,49267,Automatic,2.0L Inline-4 Gas Turbocharged,Gas,Sedan,14975.0,https://www.truecar.com/used-cars-for-sale/listing/WBA3C1C53FP852342
Ford,Fusion,SE FWD,2020,32767,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,Sedan,17999.0,https://www.truecar.com/used-cars-for-sale/listing/3FA6P0HD1LR110059
Chevrolet,Malibu,LT,2020,69652,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,Sedan,17083.0,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5ST4LF064911
Honda,Civic,LX Sedan CVT,2020,10211,Automatic,2.0L Inline-4 Gas,Gas,Sedan,17995.0,https://www.truecar.com/used-cars-for-sale/listing/19XFC2F67LE018970
Toyota,Corolla,LE CVT,2021,34760,Automatic,1.8L Inline-4 Gas,Gas,Sedan,20000.0,https://www.truecar.com/used-cars-for-sale/listing/5YFEPMAEXMP246827
Ford,F-150,Limited SuperCrew 5.5' Box 4WD,2013,74631,Automatic,3.5L V-6 Gas Turbocharged,Gas,Pickup Truck,24323.0,https://www.truecar.com/used-cars-for-sale/listing/1FTFW1ET2DFD83086
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,70950,Automatic,5.0L V-8 Gas,Gas,Pickup Truck,30024.0,https://www.truecar.com/used-cars-for-sale/listing/1FTFW1E59KFC58262
Chevrolet,Malibu,LT,2020,66554,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,Sedan,16712.0,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5STXLF064573
Toyota,Corolla,LE CVT,2021,24526,Automatic,1.8L Inline-4 Gas,Gas,Sedan,19499.0,https://www.truecar.com/used-cars-for-sale/listing/5YFEPMAE1MP233187
Hyundai,Elantra,SEL 2.0L IVT,2020,68723,Automatic,2.0L Inline-4 Gas,Gas,Sedan,17466.0,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LF0LH583940
Kia,Soul,S IVT,2020,59453,Automatic,2.0L Inline-4 Gas,Gas,Hatchback,16500.0,https://www.truecar.com/used-cars-for-sale/listing/KNDJ23AU6L7058613
